2025-05-04 14:01:49,082 [13736] [com.waf.Runner.main()] WARN  ExecutionManager.(ExecutionManager.java:278) | 0hrs:0min:2sec:563ms
2025-05-04 14:01:49,082 [13736] [com.waf.Runner.main()] INFO  PdfReportManager.(PdfReportManager.java:221) | Checking if output.xlsx file exists before creating the test summary PDF report.
2025-05-04 14:08:34,782 [1292] [com.waf.Runner.main()] INFO  Runner.(Runner.java:23) | Execution Started ----------------.
2025-05-04 14:08:34,794 [1292] [com.waf.Runner.main()] INFO  Runner.(Runner.java:24) | Parsing the input arguments.
2025-05-04 14:08:34,801 [1292] [com.waf.Runner.main()] INFO  Runner.(Runner.java:73) | Starting test execution...
2025-05-04 14:08:34,831 [1292] [com.waf.Runner.main()] INFO  ExecutionManager.(ExecutionManager.java:49) | Setting up test execution...
2025-05-04 14:08:34,983 [1292] [com.waf.Runner.main()] INFO  SMBrowserDownloader.(SMBrowserDownloader.java:42) | Launching chrome .......
2025-05-04 14:08:34,984 [1292] [com.waf.Runner.main()] INFO  DriverManager.(DriverManager.java:107) | Temporary download directory: 
2025-05-04 14:08:37,977 [1292] [com.waf.Runner.main()] WARN  ExecutionManager.(ExecutionManager.java:208) | ChromeDriver is ready!
2025-05-04 14:08:37,978 [1292] [com.waf.Runner.main()] INFO  DriverFunctions.(DriverFunctions.java:47) | Closing Browser
2025-05-04 14:08:38,752 [1292] [com.waf.Runner.main()] INFO  DriverFunctions.(DriverFunctions.java:49) | Closing Browser SUCCESSFUL
2025-05-04 14:08:38,754 [1292] [com.waf.Runner.main()] INFO  SMBrowserDownloader.(SMBrowserDownloader.java:42) | Launching edge .......
2025-05-04 14:08:38,755 [1292] [com.waf.Runner.main()] INFO  DriverManager.(DriverManager.java:107) | Temporary download directory: 
2025-05-04 14:08:42,108 [1292] [com.waf.Runner.main()] WARN  ExecutionManager.(ExecutionManager.java:218) | EdgeDriver is ready!
2025-05-04 14:08:42,109 [1292] [com.waf.Runner.main()] INFO  DriverFunctions.(DriverFunctions.java:47) | Closing Browser
